"signal" "variable" "activity" "subject" "average"
"fBodyAcc" "mean" "walking" 1 -0.960970226099291
"fBodyAcc" "mean" "walking" 2 -0.97110317057971
"fBodyAcc" "mean" "walking" 3 -0.926683372564103
"fBodyAcc" "mean" "walking" 4 -0.945009724466667
"fBodyAcc" "mean" "walking" 5 -0.948316588181818
"fBodyAcc" "mean" "walking" 6 -0.946471311818182
"fBodyAcc" "mean" "walking" 7 -0.936287699513889
"fBodyAcc" "mean" "walking" 8 -0.961599634637681
"fBodyAcc" "mean" "walking" 9 -0.9210993856
"fBodyAcc" "mean" "walking" 10 -0.966679332962963
"fBodyAcc" "mean" "walking" 11 -0.962946582515723
"fBodyAcc" "mean" "walking" 12 -0.959020263137255
"fBodyAcc" "mean" "walking" 13 -0.968664152462585
"fBodyAcc" "mean" "walking" 14 -0.95107581808642
"fBodyAcc" "mean" "walking" 15 -0.96292434839548
"fBodyAcc" "mean" "walking" 16 -0.969350914975845
"fBodyAcc" "mean" "walking" 17 -0.9795796584375
"fBodyAcc" "mean" "walking" 18 -0.984226630643275
"fBodyAcc" "mean" "walking" 19 -0.96877876826484
"fBodyAcc" "mean" "walking" 20 -0.957999713535354
"fBodyAcc" "mean" "walking" 21 -0.976510172666667
"fBodyAcc" "mean" "walking" 22 -0.954895562849462
"fBodyAcc" "mean" "walking" 23 -0.960605748039216
"fBodyAcc" "mean" "walking" 24 -0.973098162696078
"fBodyAcc" "mean" "walking" 25 -0.975099629589744
"fBodyAcc" "mean" "walking" 26 -0.968132702008547
"fBodyAcc" "mean" "walking" 27 -0.979135260333333
"fBodyAcc" "mean" "walking" 28 -0.959466193240741
"fBodyAcc" "mean" "walking" 29 -0.978775498722222
"fBodyAcc" "mean" "walking" 30 -0.968452972634409
"fBodyAcc" "mean" "walking_upstairs" 1 -0.896277044593333
"fBodyAcc" "mean" "walking_upstairs" 2 -0.980302306527778
"fBodyAcc" "mean" "walking_upstairs" 3 -0.970055911182796
"fBodyAcc" "mean" "walking_upstairs" 4 -0.955063243641975
"fBodyAcc" "mean" "walking_upstairs" 5 -0.970389641346154
"fBodyAcc" "mean" "walking_upstairs" 6 -0.933621985964912
"fBodyAcc" "mean" "walking_upstairs" 7 -0.951409948012821
"fBodyAcc" "mean" "walking_upstairs" 8 -0.949874913888889
"fBodyAcc" "mean" "walking_upstairs" 9 -0.942383697666667
"fBodyAcc" "mean" "walking_upstairs" 10 -0.962608967643678
"fBodyAcc" "mean" "walking_upstairs" 11 -0.976260704619883
"fBodyAcc" "mean" "walking_upstairs" 12 -0.954079753444444
"fBodyAcc" "mean" "walking_upstairs" 13 -0.968952086827957
"fBodyAcc" "mean" "walking_upstairs" 14 -0.93072846379085
"fBodyAcc" "mean" "walking_upstairs" 15 -0.962681082361111
"fBodyAcc" "mean" "walking_upstairs" 16 -0.972809610571429
"fBodyAcc" "mean" "walking_upstairs" 17 -0.964804491314554
"fBodyAcc" "mean" "walking_upstairs" 18 -0.986232254358974
"fBodyAcc" "mean" "walking_upstairs" 19 -0.977557667148594
"fBodyAcc" "mean" "walking_upstairs" 20 -0.969239130441176
"fBodyAcc" "mean" "walking_upstairs" 21 -0.96335860437037
"fBodyAcc" "mean" "walking_upstairs" 22 -0.944500827268518
"fBodyAcc" "mean" "walking_upstairs" 23 -0.976541582685185
"fBodyAcc" "mean" "walking_upstairs" 24 -0.977786288287037
"fBodyAcc" "mean" "walking_upstairs" 25 -0.843430381296804
"fBodyAcc" "mean" "walking_upstairs" 26 -0.980616482368421
"fBodyAcc" "mean" "walking_upstairs" 27 -0.983634796216216
"fBodyAcc" "mean" "walking_upstairs" 28 -0.964494302958333
"fBodyAcc" "mean" "walking_upstairs" 29 -0.98837841
"fBodyAcc" "mean" "walking_upstairs" 30 -0.96836208852381
"fBodyAcc" "mean" "walking_downstairs" 1 -0.985872626352201
"fBodyAcc" "mean" "walking_downstairs" 2 -0.968763210987654
"fBodyAcc" "mean" "walking_downstairs" 3 -0.935902166174863
"fBodyAcc" "mean" "walking_downstairs" 4 -0.931563391964286
"fBodyAcc" "mean" "walking_downstairs" 5 -0.923460358988095
"fBodyAcc" "mean" "walking_downstairs" 6 -0.95010025871345
"fBodyAcc" "mean" "walking_downstairs" 7 -0.952372045974843
"fBodyAcc" "mean" "walking_downstairs" 8 -0.962877299259259
"fBodyAcc" "mean" "walking_downstairs" 9 -0.952732999333333
"fBodyAcc" "mean" "walking_downstairs" 10 -0.94958364780303
"fBodyAcc" "mean" "walking_downstairs" 11 -0.983393636241135
"fBodyAcc" "mean" "walking_downstairs" 12 -0.952141116721312
"fBodyAcc" "mean" "walking_downstairs" 13 -0.975473628362573
"fBodyAcc" "mean" "walking_downstairs" 14 -0.952433279111111
"fBodyAcc" "mean" "walking_downstairs" 15 -0.965182434025157
"fBodyAcc" "mean" "walking_downstairs" 16 -0.976247063461538
"fBodyAcc" "mean" "walking_downstairs" 17 -0.981776559700855
"fBodyAcc" "mean" "walking_downstairs" 18 -0.975807289589041
"fBodyAcc" "mean" "walking_downstairs" 19 -0.969589424200913
"fBodyAcc" "mean" "walking_downstairs" 20 -0.930037588721461
"fBodyAcc" "mean" "walking_downstairs" 21 -0.96276557752809
"fBodyAcc" "mean" "walking_downstairs" 22 -0.955545696984127
"fBodyAcc" "mean" "walking_downstairs" 23 -0.963876530392157
"fBodyAcc" "mean" "walking_downstairs" 24 -0.962323797101449
"fBodyAcc" "mean" "walking_downstairs" 25 -0.974663541036036
"fBodyAcc" "mean" "walking_downstairs" 26 -0.974536948468469
"fBodyAcc" "mean" "walking_downstairs" 27 -0.975208066208333
"fBodyAcc" "mean" "walking_downstairs" 28 -0.933484407594937
"fBodyAcc" "mean" "walking_downstairs" 29 -0.984155278307692
"fBodyAcc" "mean" "walking_downstairs" 30 -0.943192982316384
"fBodyAcc" "mean" "sitting" 1 -0.342882735679245
"fBodyAcc" "mean" "sitting" 2 -0.179266153551458
"fBodyAcc" "mean" "sitting" 3 -0.325102718537853
"fBodyAcc" "mean" "sitting" 4 -0.31208438485
"fBodyAcc" "mean" "sitting" 5 -0.182021900326241
"fBodyAcc" "mean" "sitting" 6 -0.153506654190196
"fBodyAcc" "mean" "sitting" 7 -0.345083656993464
"fBodyAcc" "mean" "sitting" 8 0.00802354679268293
"fBodyAcc" "mean" "sitting" 9 -0.377489724741497
"fBodyAcc" "mean" "sitting" 10 -0.159895340307801
"fBodyAcc" "mean" "sitting" 11 -0.387245397561728
"fBodyAcc" "mean" "sitting" 12 -0.350210219248077
"fBodyAcc" "mean" "sitting" 13 -0.283634150963636
"fBodyAcc" "mean" "sitting" 14 -0.03847359205
"fBodyAcc" "mean" "sitting" 15 -0.238719786245833
"fBodyAcc" "mean" "sitting" 16 -0.359633622875817
"fBodyAcc" "mean" "sitting" 17 -0.219065150475
"fBodyAcc" "mean" "sitting" 18 -0.450425460517241
"fBodyAcc" "mean" "sitting" 19 -0.0882352679534167
"fBodyAcc" "mean" "sitting" 20 -0.162751280318562
"fBodyAcc" "mean" "sitting" 21 -0.206240816155319
"fBodyAcc" "mean" "sitting" 22 -0.0509110206706349
